Name,Team,KPer9,BBPer9,KPerBB,HRPer9,KRate,BBRate,KBBRate,AVG,WHIP,BABIP,LOBRate,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Brooks Raley,TBR,11.32,1.74,6.50,0.00,29.5%,4.5%,25.0%,.200,0.97,.296,66.7%,75,44,57,2.61,1.73,0.88,2.27,2.08,10061
Brock Burke,TEX,12.00,2.14,5.60,0.43,34.6%,6.2%,28.4%,.211,1.00,.319,86.7%,35,43,55,1.29,1.76,-0.47,2.19,2.01,17968
Tanner Rainey,WSN,10.97,3.38,3.25,0.00,27.7%,8.5%,19.1%,.256,1.41,.367,60.0%,83,48,84,3.38,1.78,1.60,3.21,2.95,17610
Taylor Rogers,SDP,10.38,1.56,6.67,0.00,31.3%,4.7%,26.6%,.138,0.63,.211,92.9%,14,51,74,0.52,1.82,-1.30,2.78,2.08,13449
Matt Strahm,BOS,9.42,1.88,5.00,0.00,27.8%,5.6%,22.2%,.140,0.70,.200,63.6%,49,46,87,1.88,1.83,0.05,3.38,2.67,13799
Luis Garcia,SDP,9.42,2.51,3.75,0.00,24.2%,6.5%,17.7%,.241,1.26,.326,50.0%,98,51,72,3.77,1.83,1.93,2.70,2.70,6984
Jose Alvarado,PHI,14.34,5.06,2.83,0.00,33.3%,11.8%,21.6%,.273,1.69,.444,57.9%,167,50,67,6.75,1.87,4.88,2.52,2.56,17780
Phoenix Sanders,TBR,8.10,1.80,4.50,0.00,23.1%,5.1%,17.9%,.216,1.00,.286,80.0%,52,49,88,1.80,1.89,-0.09,3.41,3.11,20541
Dany Jimenez,OAK,9.37,2.76,3.40,0.00,26.2%,7.7%,18.5%,.167,0.92,.233,80.0%,16,49,91,0.55,1.93,-1.38,3.54,3.04,21170
Tarik Skubal,DET,10.07,1.61,6.25,0.40,28.4%,4.5%,23.9%,.232,1.05,.319,74.7%,60,49,65,2.22,1.97,0.25,2.57,2.71,22267
Kendall Graveman,CHW,8.38,2.33,3.60,0.00,22.8%,6.3%,16.5%,.257,1.24,.339,66.7%,76,48,71,2.79,2.00,0.79,2.79,2.52,15514
Trevor Gott,MIL,12.46,1.38,9.00,0.69,35.3%,3.9%,31.4%,.188,0.85,.276,56.6%,68,54,59,2.77,2.01,0.76,2.19,1.71,15046
Freddy Peralta,MIL,12.11,3.03,4.00,0.25,32.4%,8.1%,24.3%,.203,1.09,.310,69.0%,87,55,73,3.53,2.02,1.51,2.75,2.76,18679
Seranthony Dominguez,PHI,11.05,3.68,3.00,0.00,30.5%,10.2%,20.3%,.212,1.16,.324,77.8%,61,55,77,2.45,2.07,0.39,2.92,2.72,19249
Rowan Wick,CHC,11.05,4.30,2.57,0.00,28.6%,11.1%,17.5%,.250,1.43,.368,85.7%,30,56,84,1.23,2.07,-0.84,3.20,3.16,14646
Trevor Stephan,CLE,8.64,2.70,3.20,0.00,24.6%,7.7%,16.9%,.183,0.96,.250,56.3%,73,52,85,2.70,2.07,0.63,3.32,3.16,19932
Cody Stashak,MIN,8.22,0.00,14.00,0.59,22.6%,0.0%,22.6%,.258,1.04,.319,61.6%,111,53,93,4.11,2.11,2.00,3.61,3.27,18088
Alex Lange,DET,10.05,3.14,3.20,0.00,28.6%,8.9%,19.6%,.140,0.84,.206,76.9%,51,53,76,1.88,2.11,-0.23,2.98,2.66,19883
