Name,Team,KPer9,BBPer9,KPerBB,HRPer9,KRate,BBRate,KBBRate,AVG,WHIP,BABIP,LOBRate,ERAadjusted,FIPadjusted,xFIPadjusted,ERA,FIP,EadjustedF,xFIP,SIERA,playerid
Max Fried,ATL,8.63,1.10,7.83,0.73,23.7%,3.0%,20.7%,.237,1.04,.295,71.7%,81,73,71,3.31,2.72,0.58,2.68,2.91,13743
Miles Mikolas,STL,6.70,1.68,4.00,0.37,18.7%,4.7%,14.0%,.214,0.99,.257,84.7%,44,77,96,1.68,2.82,-1.14,3.66,3.78,9803
Logan Gilbert,SEA,10.20,3.20,3.19,0.60,28.0%,8.8%,19.2%,.207,1.11,.282,79.5%,68,76,85,2.40,2.89,-0.49,3.32,3.34,22250
Max Scherzer,NYM,10.69,1.99,5.36,0.91,30.6%,5.7%,24.9%,.202,0.95,.272,81.8%,68,80,83,2.54,2.93,-0.39,3.16,2.79,3137
Merrill Kelly,ARI,8.18,3.07,2.67,0.41,21.7%,8.2%,13.6%,.244,1.27,.310,75.6%,80,79,96,3.27,2.95,0.32,3.69,3.90,11156
Carlos Carrasco,NYM,7.68,1.54,5.00,0.66,21.1%,4.2%,16.9%,.248,1.12,.303,70.8%,100,81,91,3.73,2.99,0.74,3.46,3.56,6632
Justin Verlander,HOU,8.08,1.77,4.56,0.79,25.3%,5.6%,19.8%,.145,0.68,.168,94.7%,38,80,87,1.38,3.09,-1.71,3.38,3.28,8700
Logan Webb,SFG,6.33,2.42,2.62,0.37,17.0%,6.5%,10.5%,.258,1.26,.307,72.6%,91,86,93,3.54,3.09,0.45,3.56,3.73,17995
Alek Manoah,TOR,8.36,1.93,4.33,0.64,23.8%,5.5%,18.3%,.185,0.88,.229,84.2%,45,80,96,1.71,3.09,-1.38,3.71,3.46,26410
Framber Valdez,HOU,7.47,3.64,2.05,0.19,19.7%,9.6%,10.1%,.227,1.26,.287,77.6%,75,80,82,2.68,3.11,-0.43,3.19,3.35,17295
Gerrit Cole,NYY,10.51,2.47,4.25,1.03,28.5%,6.7%,21.8%,.211,1.08,.273,82.9%,79,79,73,2.89,3.14,-0.25,2.85,2.99,13125
