"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"David Phelps","TOR","8.56","5.27","1.63","0.00","24.5%","15.1%","9.4%",".156","1.10",".219","73.3%","69","76","103","2.63","2.94","-0.31","3.96","4.18","6316"
"Tyler Rogers","SFG","5.40","2.16","2.50","0.00","14.7%","5.9%","8.8%",".242","1.14",".288","66.7%","98","82","108","3.78","2.97","0.81","4.13","3.75","15541"
"Jackson Stephens","ATL","9.75","3.00","3.25","0.75","25.0%","7.7%","17.3%",".229","1.25",".294","66.2%","37","80","75","1.50","3.01","-1.51","2.85","2.91","14420"
"Brad Boxberger","MIL","7.30","1.46","5.00","0.73","22.2%","4.4%","17.8%",".186","0.81",".219","69.8%","72","79","87","2.92","3.01","-0.09","3.30","3.14","10133"
"Wandy Peralta","NYY","5.54","3.46","1.60","0.00","16.0%","10.0%","6.0%",".178","1.00",".216","84.6%","38","76","109","1.38","3.01","-1.63","4.19","4.21","14295"
"Camilo Doval","SFG","11.88","4.86","2.44","0.54","30.6%","12.5%","18.1%",".194","1.26",".282","77.7%","70","84","79","2.70","3.03","-0.33","3.00","2.99","21992"
"Adam Cimber","TOR","6.88","1.59","4.33","0.53","20.3%","4.7%","15.6%",".183","0.82",".217","66.2%","55","78","97","2.12","3.03","-0.91","3.73","3.37","15288"
"Edwin Diaz","NYM","16.94","4.24","4.00","1.59","47.8%","11.9%","35.8%",".169","1.06",".292","100.0%","57","82","43","2.12","3.03","-0.91","1.55","1.60","14710"
"James Norwood","PHI","9.95","3.55","2.80","0.71","25.9%","9.3%","16.7%",".224","1.26",".294","34.2%","175","79","97","7.11","3.09","4.02","3.71","3.32","16440"
"Brett Martin","TEX","8.79","3.14","2.80","0.63","22.2%","7.9%","14.3%",".259","1.40",".326","64.5%","121","79","83","4.40","3.09","1.31","3.25","3.15","17369"
"Justin Lawrence","COL","12.15","7.43","1.64","0.00","29.0%","17.7%","11.3%",".240","1.73",".375","79.2%","74","78","97","3.38","3.09","0.29","3.71","3.98","17639"
"Dillon Tate","BAL","6.20","1.33","4.67","0.44","17.7%","3.8%","13.9%",".203","0.89",".237","69.9%","59","75","86","2.21","3.09","-0.88","3.34","2.95","17796"
"Bryan Baker","BAL","9.45","2.70","3.50","0.68","24.1%","6.9%","17.2%",".302","1.50",".395","61.2%","144","75","72","5.40","3.09","2.31","2.84","2.91","19804"
"Louis Head","MIA","7.71","4.50","1.71","0.00","20.0%","11.7%","8.3%",".212","1.29",".275","89.5%","34","84","119","1.29","3.09","-1.80","4.57","4.27","13259"
"Jake Woodford","STL","6.23","4.15","1.50","0.00","17.0%","11.3%","5.7%",".234","1.31",".289","76.5%","54","84","119","2.08","3.09","-1.01","4.58","4.50","18674"
"Liam Hendriks","CHW","13.75","2.45","5.60","1.47","34.6%","6.2%","28.4%",".267","1.36",".386","73.4%","108","79","62","3.93","3.14","0.78","2.45","2.03","3548"
"Rony Garcia","DET","10.93","1.93","5.67","1.29","33.3%","5.9%","27.5%",".146","0.71",".172","83.3%","70","81","71","2.57","3.16","-0.59","2.79","2.16","20430"
"Justin Grimm","OAK","6.92","4.15","1.67","0.00","17.2%","10.3%","6.9%",".275","1.54",".341","71.4%","98","83","125","3.46","3.17","0.29","4.77","4.43","11720"
"Cole Sulser","MIA","9.00","3.94","2.29","0.56","25.4%","11.1%","14.3%",".214","1.19",".282","68.2%","74","87","86","2.81","3.21","-0.40","3.27","3.41","15256"
"Joely Rodriguez","NYM","11.37","4.97","2.29","0.71","31.4%","13.7%","17.6%",".159","1.11",".222","55.6%","114","88","87","4.26","3.25","1.02","3.32","3.26","11487"
"Keegan Thompson","CHC","8.22","3.13","2.63","0.39","23.9%","9.1%","14.8%",".182","0.96",".236","93.2%","29","86","99","1.17","3.26","-2.09","3.78","3.24","19795"
"Hoby Milner","MIL","7.07","2.57","2.75","0.64","20.0%","7.3%","12.7%",".196","1.00",".231","55.6%","95","87","101","3.86","3.30","0.55","3.86","3.69","13346"
"Craig Stammen","SDP","9.00","0.00","13.00","1.38","25.0%","0.0%","25.0%",".235","0.92",".278","68.6%","72","89","75","2.77","3.32","-0.55","2.81","2.39","7274"
"Paul Sewald","SEA","9.24","0.71","13.00","1.42","29.5%","2.3%","27.3%",".116","0.47",".107","62.5%","81","88","72","2.84","3.33","-0.48","2.81","2.18","13892"
"Danny Coulombe","MIN","6.75","5.25","1.29","0.00","18.8%","14.6%","4.2%",".122","1.00",".156","83.3%","20","86","130","0.75","3.34","-2.59","4.96","4.86","13293"
"Jalen Beeks","TBR","9.77","2.30","4.25","1.15","29.3%","6.9%","22.4%",".167","0.83",".200","98.0%","49","90","67","1.72","3.35","-1.62","2.66","2.35","17192"
"Trent Thornton","TOR","5.87","4.70","1.25","0.00","15.6%","12.5%","3.1%",".214","1.30",".261","70.0%","92","87","140","3.52","3.35","0.17","5.34","5.24","17948"
"Taylor Clarke","KCR","6.75","0.00","11.00","1.23","18.0%","0.0%","18.0%",".262","1.09",".292","68.2%","65","88","92","2.45","3.36","-0.91","3.57","3.35","17611"
"Jesse Chavez","- - -","9.45","1.35","7.00","1.35","25.9%","3.7%","22.2%",".308","1.35",".389","78.9%","83","89","71","3.38","3.39","-0.01","2.69","2.67","5448"
"Jaime Barria","LAA","7.00","1.00","7.00","1.00","20.0%","2.9%","17.1%",".194","0.83",".216","90.9%","41","88","90","1.50","3.48","-1.98","3.50","3.31","18356"
"Amir Garrett","KCR","10.22","7.30","1.40","0.00","28.6%","20.4%","8.2%",".079","1.05",".125","64.3%","97","92","127","3.65","3.50","0.15","4.84","4.68","14375"
"Griffin Jax","MIN","10.31","3.44","3.00","0.98","28.0%","9.3%","18.7%",".239","1.25",".318","84.9%","80","91","85","2.95","3.53","-0.58","3.32","3.00","20253"
"Jordan Romano","TOR","9.77","2.87","3.40","1.15","26.6%","7.8%","18.8%",".220","1.15",".275","78.9%","75","92","82","2.87","3.54","-0.66","3.20","3.00","16122"
"Collin Snider","KCR","7.04","3.52","2.00","0.59","19.4%","9.7%","9.7%",".286","1.43",".349","68.0%","125","93","88","4.70","3.55","1.15","3.42","3.48","23307"
"Jhoan Duran","MIN","13.50","1.40","9.67","1.86","39.2%","4.1%","35.1%",".174","0.78",".222","96.5%","76","92","42","2.79","3.56","-0.76","1.73","1.29","21029"
"Dominic Leone","SFG","9.24","1.42","6.50","1.42","24.1%","3.7%","20.4%",".308","1.42",".378","85.5%","73","98","86","2.84","3.56","-0.72","3.26","2.82","13763"
"Hirokazu Sawamura","BOS","8.03","3.65","2.20","0.73","21.6%","9.8%","11.8%",".239","1.30",".294","68.5%","95","94","94","3.65","3.58","0.07","3.65","3.67","27515"
"Daniel Bard","COL","12.56","3.14","4.00","1.26","32.8%","8.2%","24.6%",".185","1.05",".250","70.4%","83","89","80","3.77","3.58","0.19","3.02","2.39","7115"
"Scott Barlow","KCR","7.85","2.45","3.20","0.98","23.5%","7.4%","16.2%",".175","0.87",".200","90.9%","39","94","95","1.47","3.58","-2.11","3.67","3.28","14993"
"Paolo Espino","WSN","6.62","1.53","4.33","1.02","17.3%","4.0%","13.3%",".292","1.36",".333","84.9%","75","93","108","3.06","3.60","-0.54","4.17","3.84","8246"
"Steven Okert","MIA","13.11","5.40","2.43","0.77","35.4%","14.6%","20.8%",".128","1.03",".190","87.3%","60","97","90","2.31","3.60","-1.29","3.44","2.99","13580"
"John King","TEX","7.41","3.71","2.00","0.53","18.9%","9.5%","9.5%",".242","1.35",".294","84.1%","73","94","97","2.65","3.62","-0.97","3.75","3.46","22051"
"Yimi Garcia","TOR","6.00","1.80","3.33","0.60","16.4%","4.9%","11.5%",".214","1.00",".244","64.1%","94","94","108","3.60","3.62","-0.02","4.14","3.65","12095"
"Oliver Ortega","LAA","5.95","3.66","1.63","0.46","17.6%","10.8%","6.8%",".197","1.07",".231","86.7%","49","92","101","1.83","3.65","-1.82","3.90","3.99","21025"
"Drew Smith","NYM","10.19","4.08","2.50","1.02","29.4%","11.8%","17.6%",".150","0.96",".184","98.6%","41","98","104","1.53","3.66","-2.13","3.99","3.46","17755"
"Alexis Diaz","CIN","10.70","5.60","1.91","0.51","28.4%","14.9%","13.5%",".131","1.08",".179","96.9%","24","92","116","1.02","3.66","-2.64","4.49","3.80","21132"
"Alex Colome","COL","5.11","5.11","1.00","0.00","11.5%","11.5%","0.0%",".352","2.11",".404","61.5%","96","91","129","4.38","3.66","0.72","5.01","4.64","6661"
"Austin Davis","BOS","10.91","3.45","3.17","1.15","28.8%","9.1%","19.7%",".220","1.21",".289","93.0%","60","96","98","2.30","3.66","-1.37","3.77","3.13","17117"
"Kyle Finnegan","WSN","10.05","3.14","3.20","1.26","28.1%","8.8%","19.3%",".212","1.12",".265","60.6%","93","96","66","3.77","3.72","0.05","2.48","2.33","15009"
"Adam Kolarek","OAK","4.30","3.68","1.17","0.00","11.5%","9.8%","1.6%",".245","1.30",".283","76.2%","87","100","113","3.07","3.77","-0.70","4.34","3.70","10843"
