Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Corbin Burnes,MIL,27,7,7,0,0,45.2,28,9,57,8,6,1,2,0,0,0,1.77,0.79
Kevin Gausman,TOR,31,7,7,0,0,45.0,42,12,54,2,0,3,2,0,0,0,2.40,0.98
Max Scherzer,NYM,37,7,7,0,0,44.0,29,13,55,11,5,4,1,0,0,0,2.66,0.91
Pablo Lopez,MIA,26,7,7,0,0,43.0,27,5,46,8,2,4,1,0,0,0,1.05,0.81
Max Fried,ATL,28,7,7,0,0,43.0,38,15,41,4,4,4,2,0,0,0,3.14,0.98
Frankie Montas,OAK,29,7,7,0,0,43.0,32,18,41,12,5,2,3,0,0,0,3.77,1.02
Robbie Ray,SEA,30,7,7,0,0,42.2,35,20,41,15,6,3,3,0,0,0,4.22,1.17
Sandy Alcantara,MIA,26,7,7,0,0,42.2,33,13,37,19,4,2,2,0,0,0,2.74,1.22
Miles Mikolas,STL,33,7,7,0,0,42.1,32,7,31,8,2,3,1,0,0,0,1.49,0.94
Merrill Kelly,ARI,33,7,7,0,0,42.0,36,8,38,11,1,3,1,0,0,0,1.71,1.12
Walker Buehler,LAD,27,7,7,1,1,41.2,39,13,35,10,3,4,1,0,0,0,2.81,1.18
Logan Webb,SF,25,7,7,0,0,41.1,44,16,28,11,1,5,1,0,0,0,3.48,1.33
Justin Verlander,HOU,39,6,6,0,0,40.2,20,7,36,6,4,4,1,0,0,0,1.55,0.64
Framber Valdez,HOU,28,7,7,0,0,40.0,34,13,32,17,1,2,2,0,0,0,2.93,1.28
Aaron Nola,PHI,28,7,7,0,0,40.0,33,17,47,7,6,1,4,0,0,0,3.83,1.00
Nathan Eovaldi,BOS,32,7,7,0,0,40.0,36,14,42,7,9,1,1,0,0,0,3.15,1.08
Shane McClanahan,TB,25,7,7,0,0,39.1,26,11,58,10,5,2,2,0,0,0,2.52,0.92
Yu Darvish,SD,35,7,7,0,0,39.0,35,20,32,11,4,3,1,0,0,0,4.62,1.18
Jordan Lyles,BAL,31,7,7,0,0,39.0,45,19,32,14,5,2,3,0,0,0,4.38,1.51
Joe Musgrove,SD,29,6,6,0,0,39.0,32,9,41,3,3,4,0,0,0,0,2.08,0.90
Kyle Hendricks,CHC,32,7,7,0,0,39.0,36,19,30,13,6,2,3,0,0,0,4.38,1.26
Eduardo Rodriguez,DET,29,7,7,0,0,38.2,31,16,34,15,4,1,2,0,0,0,3.72,1.19
Zack Greinke,KC,38,7,7,0,0,38.1,42,15,14,3,2,0,2,0,0,0,3.52,1.17
Logan Gilbert,SEA,25,7,7,0,0,38.0,28,9,42,14,3,4,1,0,0,0,2.13,1.11
Dylan Cease,CWS,26,7,7,0,0,38.0,27,15,58,15,3,3,1,0,0,0,3.55,1.11
Dane Dunning,TEX,27,7,7,0,0,37.2,34,17,37,13,3,1,2,0,0,0,4.06,1.25
Kyle Gibson,PHI,34,7,7,0,0,37.1,32,17,30,13,4,3,1,0,0,0,4.10,1.21
Josiah Gray,WAS,24,7,7,0,0,37.1,31,18,39,18,8,4,3,0,0,0,4.34,1.31
Brad Keller,KC,26,6,6,0,0,36.2,27,11,22,9,4,1,3,0,0,0,2.70,0.98
Carlos Carrasco,NYM,35,6,6,0,0,36.2,31,13,33,6,3,3,1,0,0,0,3.19,1.01
Gerrit Cole,NYY,31,7,7,0,0,36.2,29,12,46,12,5,3,0,0,0,0,2.95,1.12
Tyler Mahle,CIN,27,8,8,0,0,36.2,36,24,40,18,3,2,4,0,0,0,5.89,1.47
Kyle Freeland,COL,29,7,7,0,0,36.2,47,20,26,11,4,1,4,0,0,0,4.91,1.58
Chris Bassitt,NYM,33,6,6,0,0,36.2,26,10,38,9,4,4,2,0,0,0,2.45,0.95
Sean Manaea,SD,30,6,6,0,0,36.0,28,15,38,12,4,2,3,0,0,0,3.75,1.11
Alek Manoah,TOR,24,6,6,0,0,36.0,23,7,35,9,3,4,0,0,0,0,1.75,0.89
Kyle Wright,ATL,26,6,6,0,0,35.2,30,12,41,11,2,3,2,0,0,0,3.03,1.15
Zach Davies,ARI,29,7,7,0,0,35.1,27,14,28,15,3,2,1,0,0,0,3.57,1.19
Daulton Jefferies,OAK,26,7,7,0,0,35.1,39,19,23,5,4,1,6,0,0,0,4.84,1.25
Carlos Rodon,SF,29,6,6,0,0,35.0,20,7,53,12,0,4,1,0,0,0,1.80,0.91
Tylor Megill,NYM,26,7,7,0,0,34.2,30,17,37,9,4,4,2,0,0,0,4.41,1.13
Cal Quantrill,CLE,27,6,6,0,0,34.1,29,15,20,15,2,1,2,0,0,0,3.93,1.28
Chad Kuhl,COL,29,6,6,0,0,34.1,23,11,30,12,3,3,1,0,0,0,2.88,1.02
Martin Perez,TEX,31,6,6,0,0,34.1,25,8,26,9,0,1,2,0,0,0,2.10,0.99
Jose Berrios,TOR,27,7,7,0,0,34.0,42,22,24,11,6,2,2,0,0,0,5.82,1.56
Adam Wainwright,STL,40,6,6,0,0,34.0,31,12,28,13,2,3,3,0,0,0,3.18,1.29
Chris Flexen,SEA,27,6,6,0,0,34.0,33,16,22,10,5,1,5,0,0,0,4.24,1.26
Drew Rasmussen,TB,26,7,7,0,0,33.2,23,10,27,8,2,3,1,0,0,0,2.67,0.92
Luis Garcia,HOU,25,6,6,0,0,33.2,23,11,37,9,5,3,1,0,0,0,2.94,0.95
Tarik Skubal,DET,25,6,6,0,0,33.2,32,11,34,6,2,2,2,0,0,0,2.94,1.13
Nick Pivetta,BOS,29,7,7,0,0,33.2,33,19,33,14,4,1,4,0,0,0,5.08,1.40
Austin Gomber,COL,28,6,6,0,0,33.0,31,16,29,10,4,2,3,0,0,0,4.36,1.24
Mitch Keller,PIT,26,7,7,0,0,32.2,38,24,26,12,5,0,5,0,0,0,6.61,1.53
Shane Bieber,CLE,26,6,6,0,0,32.2,30,15,29,9,3,1,2,0,0,0,4.13,1.19
Patrick Corbin,WAS,32,7,7,1,0,32.2,40,22,31,17,1,0,5,0,0,0,6.06,1.74
Zach Plesac,CLE,27,6,6,0,0,32.2,34,17,20,10,5,1,3,0,0,0,4.68,1.35
Steven Matz,STL,30,7,7,0,0,32.1,41,23,37,8,6,3,3,0,0,0,6.40,1.52
Shohei Ohtani,LAA,27,33,6,0,0,32.1,24,10,46,7,3,3,2,0,0,0,2.78,0.96
Marco Gonzales,SEA,30,7,7,0,0,32.0,36,12,22,13,8,1,4,0,0,0,3.38,1.53
German Marquez,COL,27,6,6,0,0,32.0,44,23,26,10,6,0,3,0,0,0,6.47,1.69
Nestor Cortes,NYY,27,6,6,0,0,32.0,20,5,42,11,2,1,1,0,0,0,1.41,0.97
Joan Adon,WAS,23,7,7,0,0,32.0,32,25,29,23,4,1,6,0,0,0,7.03,1.72
Joe Ryan,MIN,25,6,6,0,0,31.2,20,9,31,12,2,3,2,0,0,0,2.56,1.01
Zack Wheeler,PHI,31,6,6,0,0,31.2,30,15,32,10,2,1,3,0,0,0,4.26,1.26
Paul Blackburn,OAK,28,6,6,0,0,31.0,24,6,26,3,1,4,0,0,0,0,1.74,0.87
Jordan Montgomery,NYY,29,6,6,0,0,31.0,24,10,25,5,2,0,1,0,0,0,2.90,0.94
Reid Detmers,LAA,22,6,6,1,1,31.0,18,13,20,8,3,2,1,0,0,0,3.77,0.84
Nick Martinez,SD,31,6,6,0,0,30.2,29,15,30,15,6,2,2,0,0,0,4.40,1.43
Jameson Taillon,NYY,30,6,6,0,0,30.2,33,10,25,3,3,3,1,0,0,0,2.93,1.17
Adrian Houser,MIL,29,6,6,0,0,30.1,28,13,25,15,1,3,3,0,0,0,3.86,1.42
Dakota Hudson,STL,27,6,6,0,0,30.1,25,12,18,15,4,2,2,0,0,0,3.56,1.32
JT Brubaker,PIT,28,7,7,0,0,30.1,26,18,33,16,4,0,3,0,0,0,5.34,1.38
Madison Bumgarner,ARI,32,7,7,0,0,30.1,22,6,20,12,4,2,1,0,0,0,1.78,1.12
Bruce Zimmermann,BAL,27,6,6,0,0,30.1,28,9,30,8,1,2,1,0,0,0,2.67,1.19
Clayton Kershaw,LAD,34,5,5,0,0,30.0,19,6,32,3,2,4,0,0,0,0,1.80,0.73
Ian Anderson,ATL,24,6,6,0,0,30.0,26,14,22,16,4,3,1,0,0,0,4.20,1.40
Erick Fedde,WAS,29,6,6,0,0,30.0,28,13,26,15,3,2,2,0,0,0,3.90,1.43
Jose Quintana,PIT,33,6,6,0,0,30.0,23,9,25,13,2,1,1,0,0,0,2.70,1.20
Alex Wood,SF,31,6,6,0,0,30.0,32,12,30,9,4,3,2,0,0,0,3.60,1.37
Julio Urias,LAD,25,6,6,0,0,30.0,25,7,23,8,3,2,2,0,0,0,2.10,1.10
Drew Smyly,CHC,32,6,6,0,0,29.2,34,12,21,6,5,1,4,0,0,0,3.64,1.35
Corey Kluber,TB,36,6,6,0,0,29.2,33,15,27,6,4,1,2,0,0,0,4.55,1.31
Eric Lauer,MIL,26,5,5,0,0,29.2,20,6,42,8,4,3,0,0,0,0,1.82,0.94
Elieser Hernandez,MIA,27,6,6,0,0,29.2,33,21,28,9,8,2,2,0,0,0,6.37,1.42
Ranger Suarez,PHI,26,6,6,0,0,29.1,32,12,22,12,4,3,1,0,0,0,3.68,1.50
Triston McKenzie,CLE,24,6,5,0,0,29.1,21,9,30,9,1,2,2,0,0,0,2.76,1.02
Noah Syndergaard,LAA,29,5,5,0,0,29.1,25,8,21,6,2,3,1,0,0,0,2.45,1.06
Michael Kopech,CWS,26,6,6,0,0,29.0,15,3,30,13,0,0,0,0,0,0,0.93,0.97
Jesus Luzardo,MIA,24,6,6,0,0,29.0,18,13,41,16,4,2,3,0,0,0,4.03,1.17
Freddy Peralta,MIL,25,6,6,0,0,28.2,25,14,38,11,1,2,1,0,0,0,4.40,1.26
Luis Severino,NYY,28,6,6,0,0,28.2,29,13,31,9,4,2,0,0,0,0,4.08,1.33
Tyler Anderson,LAD,32,6,4,0,0,28.2,27,14,27,5,4,3,0,0,0,0,4.40,1.12
Brandon Woodruff,MIL,29,6,6,0,0,28.2,29,19,37,10,4,3,2,0,0,0,5.97,1.36
Charlie Morton,ATL,38,6,6,0,0,28.2,30,18,23,17,3,2,3,0,0,0,5.65,1.64
Jose Urquidy,HOU,27,6,6,0,0,28.2,34,14,19,4,4,2,1,0,0,0,4.40,1.33
Michael Lorenzen,LAA,30,5,5,0,0,28.1,23,13,21,10,4,3,2,0,0,0,4.13,1.16
Zac Gallen,ARI,26,5,5,0,0,28.1,16,3,26,4,0,2,0,0,0,0,0.95,0.71
Antonio Senzatela,COL,27,6,6,0,0,27.2,47,15,8,7,2,2,2,0,0,0,4.88,1.95
Vince Velasquez,CWS,29,6,6,0,0,27.2,30,17,25,12,6,2,3,0,0,0,5.53,1.52
Cole Irvin,OAK,28,5,5,0,0,27.2,25,9,18,7,4,2,1,0,0,0,2.93,1.16
Keegan Thompson,CHC,27,8,1,0,0,27.0,19,5,22,10,2,2,0,0,0,0,1.67,1.07
Trevor Rogers,MIA,24,6,6,0,0,27.0,27,15,21,13,2,1,4,0,0,0,5.00,1.48
Tony Gonsolin,LAD,28,6,6,0,0,27.0,16,4,23,13,1,3,0,0,0,0,1.33,1.07
Patrick Sandoval,LAA,25,5,5,0,0,26.2,22,6,27,12,0,1,1,0,0,0,2.03,1.28
Jake Odorizzi,HOU,32,6,6,0,0,26.2,22,10,17,11,1,3,2,0,0,0,3.38,1.24
Lucas Giolito,CWS,27,5,5,0,0,26.2,21,8,37,9,5,2,1,0,0,0,2.70,1.13
Marcus Stroman,CHC,31,5,5,0,0,26.1,24,15,22,7,4,1,3,0,0,0,5.13,1.18
Michael Wacha,BOS,30,5,5,0,0,26.0,13,4,19,11,2,3,0,0,0,0,1.38,0.92
Yusei Kikuchi,TOR,30,6,6,0,0,26.0,20,12,27,17,4,1,1,0,0,0,4.15,1.42
Vladimir Gutierrez,CIN,26,6,6,0,0,26.0,32,25,19,19,6,0,5,0,0,0,8.65,1.96
MacKenzie Gore,SD,23,5,5,0,0,26.0,23,7,28,9,1,2,1,0,0,0,2.42,1.23
Hunter Greene,CIN,22,6,6,0,0,26.0,32,22,35,15,11,1,5,0,0,0,7.62,1.81
Spenser Watkins,BAL,29,6,6,0,0,26.0,29,15,13,12,4,0,1,0,0,0,5.19,1.58
Josh Winder,MIN,25,6,3,0,0,25.2,18,7,22,7,3,2,1,0,0,0,2.45,0.97
Taylor Hearn,TEX,27,6,6,0,0,25.2,29,15,29,13,3,2,2,0,0,0,5.26,1.64
Humberto Castellanos,ARI,24,7,5,0,0,25.0,23,12,16,7,1,2,1,0,0,0,4.32,1.20
Dylan Bundy,MIN,29,5,5,0,0,25.0,28,16,22,5,4,3,2,0,0,0,5.76,1.32
Aaron Civale,CLE,26,6,6,0,0,24.2,35,27,27,8,6,1,3,0,0,0,9.85,1.74
Garrett Whitlock,BOS,25,8,4,0,0,24.2,15,6,34,8,3,1,1,1,1,0,2.19,0.93
Daniel Lynch,KC,25,5,5,0,0,24.2,23,11,25,9,4,2,2,0,0,0,4.01,1.30
Tyler Wells,BAL,27,6,6,0,0,24.0,23,10,17,4,3,1,2,0,0,0,3.75,1.13
Zach Eflin,PHI,28,5,5,0,0,24.0,26,12,18,5,1,1,2,0,0,0,4.50,1.29
Tanner Houck,BOS,25,7,4,0,0,23.2,22,15,23,11,1,2,3,0,0,0,5.70,1.39
Aaron Ashby,MIL,23,7,3,0,0,23.1,21,11,25,17,2,0,3,0,0,1,4.24,1.63
Ross Stripling,TOR,32,7,5,0,0,23.0,24,12,18,5,2,0,1,0,0,0,4.70,1.26
Carlos Hernandez,KC,25,5,5,0,0,22.2,31,18,10,12,2,0,2,0,0,0,7.15,1.90
Michael King,NYY,26,11,0,0,0,22.2,17,4,31,4,1,2,1,1,1,4,1.59,0.93
Chris Archer,MIN,33,6,6,0,0,22.1,21,11,22,12,6,0,1,0,0,0,4.43,1.48
Chris Paddack,MIN,26,5,5,0,0,22.1,25,10,20,2,0,1,2,0,0,0,4.03,1.21
Justin Steele,CHC,26,6,6,0,0,22.0,26,13,19,13,1,1,4,0,0,0,5.32,1.77
Rich Hill,BOS,42,5,5,0,0,22.0,17,7,17,7,2,0,1,0,0,0,2.86,1.09
Bryse Wilson,PIT,24,6,4,0,0,21.2,23,14,20,10,2,0,2,0,0,0,5.82,1.52
Jordan Hicks,STL,25,7,5,0,0,21.2,13,10,21,12,2,1,3,0,0,0,4.15,1.15
Cristian Javier,HOU,25,6,2,0,0,21.2,11,2,25,6,1,2,0,0,0,0,0.83,0.78
Keegan Akin,BAL,27,9,0,0,0,21.0,13,4,17,4,1,1,0,0,0,1,1.71,0.81
Michael Pineda,DET,33,4,4,0,0,21.0,20,8,12,4,4,1,2,0,0,0,3.43,1.14
Dallas Keuchel,CWS,34,5,5,0,0,21.0,32,16,13,12,3,2,3,0,0,0,6.86,2.10
Beau Brieske,DET,24,4,4,0,0,21.0,15,9,11,10,5,0,2,0,0,0,3.86,1.19
Zach Thompson,PIT,28,6,5,0,0,20.1,26,16,19,10,4,1,3,0,0,0,7.08,1.77
Alex Cobb,SF,34,5,5,0,0,20.1,20,9,28,8,1,2,1,0,0,0,3.98,1.38
Matt Brash,SEA,24,5,5,0,0,20.0,24,17,19,17,3,1,3,0,0,0,7.65,2.05
Wil Crowe,PIT,27,12,0,0,0,20.0,12,5,19,9,0,2,2,1,1,2,2.25,1.05
Dillon Peters,PIT,29,10,3,0,0,19.2,5,4,15,9,0,3,1,0,0,1,1.83,0.71
Bailey Ober,MIN,26,4,4,0,0,19.2,19,6,16,5,2,1,1,0,0,0,2.75,1.22
Josh Rogers,WAS,27,9,3,0,0,19.1,18,11,11,6,4,1,2,0,0,1,5.12,1.24
David Peterson,NYM,26,4,3,0,0,19.0,13,4,16,8,1,1,0,0,0,0,1.89,1.11
Bryce Elder,ATL,22,4,4,0,0,19.0,18,10,12,14,3,1,3,0,0,0,4.74,1.68
Aaron Sanchez,WAS,29,4,4,0,0,19.0,24,16,10,3,3,2,2,0,0,0,7.58,1.42
Jeff Hoffman,CIN,29,12,0,0,0,18.2,16,4,17,6,1,0,0,0,0,0,1.93,1.18
Brock Burke,TEX,25,10,0,0,0,18.2,14,3,27,5,1,3,0,0,0,1,1.45,1.02
Josh Fleming,TB,25,6,2,0,0,18.1,27,13,17,9,2,2,3,0,0,0,6.38,1.96
Taijuan Walker,NYM,29,4,4,0,0,18.0,14,6,8,5,2,1,0,0,0,0,3.00,1.06
Spencer Strider,ATL,23,7,0,0,0,17.2,11,6,26,9,0,0,1,0,1,0,3.06,1.13
