,PlayerId,Player,Team,Position,GP,TOI,Goals,TotalAssists,FirstAssists,SecondAssists,TotalPoints,IPP,Shots,SHPercentage,ixG,iCF,iFF,iSCF,iHDCF,RushAttempts,ReboundsCreated,PIM,TotalPenalties,Minor,Major,Misconduct,PenaltiesDrawn,Giveaways,Takeaways,Hits,HitsTaken,ShotsBlocked,FaceoffsWon,FaceoffsLost,FaceoffsPercentage
561,Boris Katchouk,T.B,L,36,353.18333333333,2,4,2,2,6,54.55,33,6.06,3.92,64,50,39,22,6,2,25,7,5,1,1,12,4,9,95,39,11,7,10,41.18
714,Bowen Byram,COL,D,18,352.31666666667,5,6,2,4,11,61.11,35,14.29,1.74,69,47,22,4,1,5,6,3,3,0,0,1,7,5,27,40,15,0,0,-
253,Brad Hunt,VAN,D,21,308.05,0,6,2,4,6,46.15,25,0.00,0.89,52,34,12,0,0,5,8,4,4,0,0,0,10,5,9,28,25,0,0,-
44,Brad Marchand,BOS,L,39,753.08333333333,21,28,18,10,49,85.96,119,17.65,12.72,189,145,118,44,6,18,67,24,21,1,2,18,35,24,49,53,13,6,10,37.50
15,Brad Richardson,CGY,R,24,239,2,2,1,1,4,66.67,14,14.29,1.22,26,20,12,7,0,2,23,6,4,1,1,4,3,1,37,28,9,72,49,59.50
741,Braden Schneider,NYR,D,13,213.33333333333,1,4,2,2,5,62.50,11,9.09,0.67,23,17,5,2,1,1,0,0,0,0,0,0,5,1,22,32,14,0,0,-
262,Brady Skjei,CAR,D,50,1046.4833333333,7,14,6,8,21,44.68,105,6.67,5.17,192,139,49,13,3,13,28,14,14,0,0,4,37,30,61,68,46,0,0,-
674,Brady Tkachuk,OTT,L,47,885.51666666667,17,20,14,6,37,61.67,171,9.94,19.8,271,220,178,93,9,17,70,25,20,4,1,21,34,20,168,75,22,147,130,53.07
465,Brandon Carlo,BOS,D,48,945.63333333333,4,4,2,2,8,25.81,83,4.82,2.49,138,109,22,4,5,6,23,10,9,1,0,8,14,15,86,122,65,0,0,-
583,Brandon Duhaime,MIN,R,46,496.11666666667,6,8,3,5,14,60.87,61,9.84,5.58,104,79,56,27,5,3,63,17,9,7,1,11,10,10,109,56,12,3,10,23.08
