,PlayerId,Player,Team,Position,GP,TOI,CF,CA,CFPercentage,FF,FA,FFPercentage,SF,SA,SFPercentage,GF,GA,GFPercentage,xGF,xGA,xGFPercentage,SCF,SCA,SCFPercentage,HDCF,HDCA,HDCFPercentage,HDGF,HDGA,HDGFPercentage,MDCF,MDCA,MDCFPercentage,MDGF,MDGA,MDGFPercentage,LDCF,LDCA,LDCFPercentage,LDGF,LDGA,LDGFPercentage,On-Ice,SHPercentage,On-Ice,SVPercentage,PDO,OffZoneStarts,NeuZoneStarts,DefZoneStarts,OnTheFlyStarts,OffZoneStartPercentage,OffZoneFaceoffs,NeuZoneFaceoffsDefZoneFaceoffs,OffZoneFaceoffPercentage
398,Alex Tuch,BUF,R,19,374.13333333333,385,342,52.96,308,280,52.38,242,207,53.90,33,25,56.90,21.04,20.44,50.73,196,167,53.99,74,68,52.11,13,15,46.43,122,99,55.20,10,8,55.56,173,152,53.23,9,1,90.00,13.64,87.92,1.016,96,86,73,205,56.80,179,119,129,58.12
368,Alex Wennberg,SEA,C,52,954.16666666667,848,771,52.38,636,589,51.92,476,444,51.74,41,56,42.27,40.63,47.51,46.10,402,374,51.80,142,158,47.33,18,26,40.91,260,216,54.62,11,19,36.67,402,327,55.14,11,8,57.89,8.61,87.39,0.960,189,206,180,630,51.22,321,280,330,49.31
751,Alexander Barabanov,S.J,L,41,705.21666666667,672,676,49.85,498,495,50.15,365,349,51.12,37,33,52.86,32.1,32.29,49.86,355,351,50.28,162,137,54.18,20,16,55.56,193,214,47.42,9,9,50.00,283,279,50.36,7,7,50.00,10.14,90.54,1.007,137,119,97,533,58.55,235,173,213,52.46
26,Alexander Edler,L.A,D,26,479.36666666667,516,445,53.69,396,320,55.31,302,236,56.13,23,18,56.10,26.07,22.55,53.62,264,254,50.97,111,91,54.95,17,11,60.71,153,163,48.42,5,6,45.45,201,170,54.18,0,1,0.00,7.62,92.37,1.000,54,71,79,380,40.60,147,113,159,48.04
305,Alexander Kerfoot,TOR,C,50,770.33333333333,696,754,48.00,533,587,47.59,392,433,47.52,48,46,51.06,34.52,38.16,47.49,368,385,48.87,144,149,49.15,24,23,51.06,224,236,48.70,17,19,47.22,289,321,47.38,6,4,60.00,12.24,89.38,1.016,140,142,124,628,53.03,245,211,268,47.76
23,Alexander Radulov,DAL,R,43,665.7,665,602,52.49,492,444,52.56,350,317,52.47,28,30,48.28,34.34,28.22,54.89,373,279,57.21,152,105,59.14,22,13,62.86,221,174,55.95,3,12,20.00,250,261,48.92,3,3,50.00,8.00,90.54,0.985,139,110,70,503,66.51,259,140,148,63.64
701,Alexander Romanov,MTL,D,48,917.63333333333,723,1006,41.82,539,754,41.69,399,542,42.40,33,65,33.67,30.3,47.46,38.96,351,524,40.11,139,194,41.74,13,34,27.66,212,330,39.11,14,18,43.75,300,430,41.10,4,13,23.53,8.27,88.01,0.963,89,171,147,646,37.71,216,278,330,39.56
503,Alexandre Carrier,NSH,D,48,999.41666666667,779,1039,42.85,588,783,42.89,430,570,43.00,47,39,54.65,40.96,52.2,43.97,386,527,42.28,149,180,45.29,25,22,53.19,237,347,40.58,14,8,63.64,337,451,42.77,4,9,30.77,10.93,93.16,1.041,118,175,245,756,32.51,271,283,464,36.87
647,Alexandre Texier,CBJ,C,36,525.86666666667,431,554,43.76,328,434,43.04,237,336,41.36,29,34,46.03,22.4,31.63,41.46,210,289,42.08,81,125,39.32,12,15,44.44,129,164,44.03,9,8,52.94,191,242,44.11,6,11,35.29,12.24,89.88,1.021,51,124,130,390,28.18,76,153,212,26.39
744,Alexis Lafrenière,NYR,L,48,657.86666666667,607,584,50.97,466,449,50.93,343,311,52.45,26,24,52.00,31.46,25.52,55.22,302,305,49.75,135,126,51.72,18,17,51.43,167,179,48.27,4,5,44.44,269,246,52.23,4,2,66.67,7.58,92.28,0.999,117,107,54,540,68.42,227,165,129,63.76
738,Aliaksei Protas,WSH,C,33,390.5,381,297,56.19,280,214,56.68,194,147,56.89,19,13,59.38,17.84,13.68,56.60,181,154,54.03,71,63,52.99,7,7,50.00,110,91,54.73,7,4,63.64,176,122,59.06,4,2,66.67,9.79,91.16,1.010,93,92,38,288,70.99,154,125,87,63.90
431,Anders Bjork,BUF,L,46,560.56666666667,373,570,39.55,271,445,37.85,195,325,37.50,13,27,32.50,15.25,27.46,35.70,171,262,39.49,62,121,33.88,10,12,45.45,109,141,43.60,1,8,11.11,168,270,38.36,1,6,14.29,6.67,91.69,0.984,80,112,87,468,47.90,118,144,154,43.38
157,Anders Lee,NYI,L,40,673.2,728,592,55.15,542,459,54.15,394,340,53.68,40,36,52.63,41.76,29.83,58.33,389,323,54.63,164,122,57.34,23,17,57.50,225,201,52.82,7,9,43.75,308,227,57.57,10,6,62.50,10.15,89.41,0.996,182,99,48,498,79.13,311,142,117,72.66
340,Andre Burakovsky,COL,L,48,773.66666666667,968,595,61.93,703,461,60.40,513,353,59.24,61,37,62.24,43.14,29.56,59.34,462,283,62.01,156,126,55.32,24,19,55.81,306,157,66.09,22,10,68.75,457,249,64.73,14,7,66.67,11.89,89.52,1.014,174,139,109,552,61.48,322,218,189,63.01
296,Andreas Athanasiou,L.A,C,18,265.75,254,229,52.59,205,176,53.81,145,127,53.31,14,13,51.85,14.06,11.36,55.31,143,130,52.38,53,48,52.48,7,6,53.85,90,82,52.33,4,4,50.00,97,82,54.19,2,3,40.00,9.66,89.76,0.994,52,54,34,212,60.47,84,77,73,53.50
320,Andreas Johnsson,N.J,L,46,678.35,716,639,52.84,536,490,52.24,397,336,54.16,41,37,52.56,37.23,31.79,53.94,392,331,54.22,170,117,59.23,22,22,50.00,222,214,50.92,13,10,56.52,295,262,52.96,5,3,62.50,10.33,88.99,0.993,124,130,66,605,65.26,219,188,149,59.51
683,Andrei Svechnikov,CAR,R,47,807.05,1065,675,61.21,797,537,59.75,573,381,60.06,73,35,67.59,65.07,37.22,63.61,567,337,62.72,234,144,61.90,37,23,61.67,333,193,63.31,23,7,76.67,430,277,60.82,12,3,80.00,12.74,90.81,1.036,214,168,85,499,71.57,394,252,193,67.12
